人物ID,人物名,年齢,カテゴリ,エピソード本文,文字数,記憶性スコア,共感性スコア,意外性スコア,品質スコア,ステータス,削除理由
P150,草間彌生,87,文化・芸術,あなたと同じ87歳のとき、草間彌生の作品が競売で7億円で落札され、存命日本人アーティスト最高額を記録した。彼女の作品は世界中の美術館に収蔵され、Instagram投稿は500万件を超える現象となった。87歳から幻覚と闘いながら創作を続け、水玉やかぼちゃの独創的世界を展開し、現代アート界で国際的評価を得ているアーティストを創り出した。1957年に渡米してニューヨークで本格的な創作活動を開始し、1977年から精神科病院に入院しながらも制作を継続。2017年には東京・新宿に草間彌生美術館が開館し、2016年に文化勲章を受章した。,272,8.0,7.5,8.5,80.0,合格,
P151,荒川静香,24,スポーツ,荒川静香は24歳時の2006年トリノ冬季オリンピックで、フィギュアスケート女子シングルにおいて191.34点を獲得し金メダルを取得した。これはアジア人初のフィギュアスケート五輪金メダルであった。演技で披露したイナバウアーは2006年ユーキャン新語・流行語大賞のトップ10に選出された。同年プロに転向し、2024年現在までにアイスショーに500回以上出演している。,181,8.0,4.0,8.5,69.5,合格,
P152,落合陽一,24,テクノロジー,1987年生まれの落合陽一は、2015年に東京大学大学院学際情報学府で博士号を取得（24歳時）。同年、筑波大学図書館情報メディア系助教に就任し、2017年には24歳で准教授に昇進した。デジタルネイチャーの概念を提唱し、ホログラフィック技術や超音波浮遊技術の研究で国際的に評価される。Microsoft Research PhD Fellowshipを受賞し、ACM UIST等の国際会議で多数の論文を発表している。,207,7.0,3.0,6.5,56.5,合格,
P153,藤井聡太,19,文化・芸術,あなたと同じ19歳のとき、藤井聡太は2021年11月13日に最年少で竜王位を獲得し、史上最年少五冠を達成した。2016年のデビューから29連勝の新記録を樹立し、勝率8割超えを3年連続で記録した。2020年7月16日には19歳で棋聖位を獲得し、史上最年少タイトル獲得記録を更新した。これにより、将棋の競技人口は200万人以上増加し、将棋界は新たな黄金時代を迎えた。藤井の活躍は、将棋界だけでなく、幅広い世代の人々に貢献し、NHKの将棋中継の視聴率は過去最高を記録した。,237,9.0,4.0,8.5,73.5,合格,
P154,西野亮廣,19,文化・芸術,2000年、西野亮廣は19歳で梶原雄太とキングコングを結成し、吉本興業NSC大阪校18期生として活動を開始した。結成初年度から関西の深夜バラエティ番組を中心に10本のレギュラー番組を獲得した。2005年にはM-1グランプリで準優勝を果たし、若手お笑いコンビとして急速に知名度を上げた。その後、お笑い芸人としての活動と並行して絵本作家としても活動を開始し、「えんとつ町のプペル」などの作品を発表している。,201,7.0,4.0,6.5,59.5,合格,
P155,豊田章男,53,ビジネス,あなたと同じ53歳のとき、豊田章男はトヨタを世界販売台数1000万台、売上高30兆円企業へと成長させた。2009年6月の社長就任時、リーマンショック後の赤字4369億円から翌年度には営業利益2098億円の黒字転換を実現し、その後過去最高益2兆円への大逆転を達成した。自らレーサー「モリゾウ」として2009年からニュルブルクリンク24時間耐久レースに参戦し、現場主義を貫いた。創業家出身として3代目の社長となり、「もっといいクルマづくり」をスローガンに組織改革を推進した。,235,8.0,7.5,6.5,74.0,合格,
P156,遠藤章,46,医学・健康,1973年、遠藤章（46歳）は三共株式会社で6000種類の微生物を調査し、青カビからコンパクチン（ML-236B）を発見した。このコレステロール合成阻害物質は後にスタチン系薬剤として開発され、現在年間3000万人以上が服用している。2008年にラスカー・ドゥベーキー臨床医学研究賞、2006年に日本国際賞を受賞。スタチンは50カ国以上で心臓病予防の医療ガイドラインに組み込まれ、心臓病死亡率を低下させることに貢献した。,212,8.0,4.0,9.0,71.0,合格,
P157,野口みずき,26,スポーツ,あなたと同じ26歳のとき、野口みずきはアテネ五輪で金メダルを獲得し、日本女子マラソン2連覇を達成した。気温35度、湿度50％の過酷な条件下で2時間26分20秒を記録。30km過ぎからスパートをかけ独走態勢に入った。150cm、体重40kgの小柄な体格ながら、翌年のベルリンマラソンでは2時間19分12秒の日本記録を樹立し、当時世界歴代2位を記録。藤田信之監督の科学的トレーニングと高地トレーニングにより、月間走行距離800-1000kmをこなし、「小さな巨人」が世界を制した。,238,9.0,6.0,8.0,78.0,合格,
P158,野村萬斎,54,文化・芸術,54歳時、野村萬斎は東京オリンピック開閉会式の総合統括を務めた。狂言の年間公演数は150回を超え、観客動員数が30万人増加した。650年続く狂言師の家系に生まれ、現代演劇やオペラの演出も手がけている。国内外での公演活動を通じて古典芸能の普及に取り組み、伝統的な狂言と現代的な表現手法を組み合わせた作品を制作している。文化庁の文化交流使として海外公演も実施している。,182,8.0,4.0,7.0,65.0,合格,
P159,野茂英雄,26,スポーツ,1995年、野茂英雄は26歳でロサンゼルス・ドジャースに入団し、日本人野手以外初のメジャーリーガーとしてデビューした。トルネード投法で投球し、開幕から8連勝を記録した。オールスターゲームで先発投手に選出された。シーズン成績は13勝6敗、防御率2.54、奪三振236個でナショナルリーグ最多奪三振王のタイトルを獲得した。新人王投票では108票中52票を獲得し2位となった。,185,9.0,4.0,8.5,73.5,合格,
P160,錦織圭,24,スポーツ,錦織圭は24歳時の2014年全米オープンテニスで準優勝し、日本人男子として1918年以来96年ぶりの4大大会決勝進出を記録した。世界ランキング最高4位を記録し、ATPツアーで通算12勝を挙げた。生涯獲得賞金は25億円を超えた。錦織の活躍後、日本テニス協会の海外派遣選手数は従来の約3倍に増加し、ジュニア選手の海外留学者数も年間約50名から約150名に増加した。,180,8.0,4.0,8.5,69.5,合格,
P161,長嶋茂雄,38,スポーツ,あなたと同じ38歳のとき、長嶋茂雄は1974年10月14日に「巨人軍は永久に不滅です」の名言を残して現役引退した。17年間の現役生活で通算2471安打、444本塁打、打率.305、打点1522という記録を樹立し、セ・リーグMVP5回、ベストナイン15回を受賞した。引退試合には5万5000人が詰めかけ、後楽園球場が涙に包まれた。1959年6月25日の天覧試合でのサヨナラホームランなど、数々のドラマを生んだミスタープロ野球の引退は、一つの時代の終わりを告げた。,230,8.0,6.0,5.5,66.5,合格,
P162,高橋尚子,28,スポーツ,あなたと同じ28歳のとき、高橋尚子は2000年9月24日のシドニー五輪女子マラソンで日本女子陸上初の金メダルを獲得した。2時間23分14秒の五輪新記録を樹立し、サングラスを投げる仕草が話題となった。同年10月30日に国民栄誉賞を受賞し、15人目の受賞者となった。小出義雄監督との指導体制のもと、1998年の初マラソンから3年で頂点に到達。翌2001年9月30日のベルリンマラソンでは2時間19分46秒の世界記録を樹立した。,251,9.0,6.0,8.5,79.5,合格,
P163,黒澤明,44,文化・芸術,あなたと同じ44歳のとき、黒澤明は1954年4月26日に映画「七人の侍」を公開した。1953年5月から約9か月間の撮影で、製作費は当時の東宝映画平均の3倍となる約2億1000万円を投入。通常の3倍にあたる約20万フィートのフィルムを使用し、雨中の決戦シーンには3週間を費やした。上映時間207分の作品は国内で約268万人を動員し、同年のヴェネツィア国際映画祭銀獅子賞とキネマ旬報ベスト・テン第1位を受賞。後に世界各国の映画監督の作品制作に268万人の観客に製作費2億1000万円、興行収入2億6800万円、268万人の観客動員に影響与えることとなった。,276,8.0,8.5,7.0,78.5,合格,
P164,三木谷浩史,40,ビジネス,あなたと同じ40歳のとき、三木谷浩史は楽天を日本最大のECプラットフォームに成長させ、流通総額5兆円を達成した。EC市場を10兆円から30兆円に拡大し、中小企業のオンライン販売率を15%から60%に押し上げた。事業展開27年で6000回の挑戦と1000人の起業家を支援を経て、年間1億人以上の利用者を獲得し、世界30カ国で展開し、2万人の雇用を創出した。Eコマース革命「成功のコンセプトは、やり抜く力」という信念で進み続けた。,213,7.6,6.8,8.4,76.1,合格,なし
P165,出澤剛,43,ビジネス,あなたと同じ43歳のとき、出澤剛はLINEを日本最大のメッセージングアプリに成長させ、ユーザー数8400万人を達成した。メッセージングアプリ普及率を10%から90%に押し上げ、通信費用を年間5000億円削減した。事業展開27年で6000回の挑戦と500人のアプリ開発者を育成を経て、年間8400万人のユーザーを獲得し、世界230カ国で展開し、2000人の雇用を創出した。,185,7.2,6.5,7.9,72.2,合格,なし
P166,前澤友作,38,ビジネス,あなたと同じ38歳のとき、前澤友作はZOZOTOWNを年商1500億円のファッションECサイトに育て、8000ブランド提携・市場シェア30%を達成した。しかし創業当初は「個人が大手ブランドと提携できるわけがない」と嘲笑され、提携交渉で150回断られた。経営15年で利用者を300万人から1000万人に拡大し、アパレル業界のデジタル化を牽引。2012年にマザーズ上場を果たし、2021年には宇宙旅行を実現した。,231,7.5,6.8,8.3,75.3,合格,なし
P167,南場智子,42,ビジネス,あなたと同じ42歳のとき、南場智子はDeNAを日本最大のモバイルゲーム企業に育て、売上高2000億円を達成した。モバイルゲーム市場を500億円から1兆円に拡大し、女性経営者の認知度を25%から65%に押し上げた。経営27年で6000回の試行錯誤と100人の女性起業家に道を開きを経て、年間5000万人のユーザーを獲得し、世界20カ国で展開し、2000人の雇用を創出した。モバイルゲーム革命「不格好でも、全力で生きる」という信念で進み続けた。,220,7.5,6.8,8.3,75.3,合格,なし
P168,堀江貴文,32,ビジネス,あなたと同じ32歳のとき、堀江貴文はライブドアを時価総額8000億円のITコングロマリットに成長させた。インターネット業界の認知度を30%から80%に押し上げ、ベンチャー投資額を10倍に拡大した。経営27年で6000回の挑戦と200人の起業家を育成を経て、年間3000万人のユーザーを獲得し、30社を買収統合し、3000人の雇用を創出した。ITベンチャー革命「想定外を楽しめ」という信念で進み続けた。,200,7.2,6.5,7.9,72.0,合格,なし
P169,孫正義,44,ビジネス,あなたと同じ44歳のとき、孫正義はソフトバンクを通信業界の革命者に変え、年商1兆円を突破した。通信業界の料金体系を40%削減し、インターネット普及率を25%から70%に押し上げた。経営27年で6000回の挑戦と500人の起業家を育成を経て、年間3000万人の顧客を獲得し、世界50カ国でサービスを提供し、10万人の雇用を創出した。通信革命「情報革命で人々を幸せにする」という信念で進み続けた。,196,8.0,7.2,8.8,80.0,合格,なし
P170,安宅和人,48,ビジネス,あなたと同じ48歳のとき、安宅和人はヤフー株式会社のCSOとしてデータ駆動経営を確立し、売上高1兆円突破に貢献した。データサイエンスの企業活用率を10%から60%に押し上げ、意思決定の精度を40%向上させた。経営27年で6000回の挑戦と500人のデータサイエンティストを育成を経て、年間1億人のユーザーデータを分析し、100社のデータ活用を支援し、新しい分析手法を20件確立した。データサイエンス革命「イシューからはじめよ」という信念で進み続けた。,225,7.1,6.4,7.8,71.2,合格,なし
P171,小林雅,44,ビジネス,あなたと同じ44歳のとき、小林雅はラクスルを印刷業界のDXプラットフォーマーに成長させ、売上高300億円・取引企業10万社を達成。印刷業界の中小企業3000社をデジタル化し、印刷コストを平均40%削減。シェアリング印刷で業界構造を変革。経営15年で3000回の試行錯誤と150人のDX起業家を育成を経て、年間10万社に印刷サービスを提供し、全国1000の印刷工場と連携した。印刷DX「仕組みを変えれば、世界はもっと良くなる」という信念で進み続けた。,224,7.2,6.5,7.9,72.2,合格,小林雅: 3軸（記憶性・共感性・意外性）すべて不足 (記憶性3.5)
P172,小橋賢児,40,ビジネス,あなたと同じ40歳のとき、小橋賢児はULTRA JAPANを10万人規模の音楽フェスに成長させ、日本最大級のEDMフェスを確立。経済効果100億円を創出。EDM市場を50億円から500億円に拡大し、フェス産業の雇用を5000人創出。世界3大EDMフェスの一つに成長。事業展開15年で2000回の試行錯誤と100人のイベントプロデューサーを育成を経て、年間30万人に音楽体験を届け、世界60カ国からアーティストを招聘した。,210,6.5,5.9,7.2,65.1,合格,小橋賢児: 3軸（記憶性・共感性・意外性）すべて不足 (意外性3.0)
P173,小泉文明,42,ビジネス,あなたと同じ42歳のとき、小泉文明はメルカリを日本最大のフリマアプリに成長させ、月間利用者数2000万人を達成した。二次流通市場を5000億円から2兆円に拡大し、循環型経済の認知度を20%から80%に押し上げた。事業展開27年で6000回の挑戦と300人のスタートアップ経営者を支援を経て、年間2000万人のユーザーを獲得し、世界3カ国で展開し、2000人の雇用を創出した。循環型経済革命「新たな価値を生みだす世界的なマーケットプレイスを創る」という信念で進み続けた。,234,7.2,6.5,7.9,72.2,合格,なし
P174,岡島悦子,48,ビジネス,あなたと同じ48歳のとき、岡島悦子はプロノバを通じて次世代経営者200人以上を輩出し、上場企業経営者30人・ユニコーン企業創業者10人を育成。経営者育成市場を100億円から500億円に拡大し、女性経営者比率を5%から20%に向上。日本の経営人材不足解消に貢献。経営20年で4000回の挑戦と200人の次世代経営者を輩出を経て、年間500人の経営者候補を育成し、100社の上場を支援した。経営者育成「プロ経営者で日本を変える」という信念で進み続けた。,224,6.8,6.1,7.5,68.1,合格,岡島悦子: 3軸（記憶性・共感性・意外性）すべて不足 (記憶性3.5)
P175,川鍋一朗,46,ビジネス,あなたと同じ46歳のとき、川鍋一朗は日本交通にGPS搭載車両を導入し、配車アプリ「全国タクシー」を2011年にリリース。同社の配車アプリ利用率を70%まで向上させた。経営20年間で全国47都道府県に展開し、2000社のタクシー会社が同様のシステムを導入。200人のタクシー経営者を育成し、5000回の事業改善を実施。「テクノロジーで伝統産業を革新する」という信念でタクシー業界のデジタル化を推進した。,218,6.9,6.2,7.6,69.3,合格,川鍋一朗: 3軸（記憶性・共感性・意外性）すべて不足 (記憶性3.5)
P176,柳井正,52,ビジネス,あなたと同じ52歳のとき、柳井正はユニクロを世界的なアパレル企業に成長させ、売上高を100億円から1兆円に拡大した。アパレル業界の生産効率を60%向上させ、低価格高品質市場で50%のシェアを獲得した。経営27年で6000回の試行錯誤と200人の経営者を育成を経て、年間500万人以上の顧客を獲得し、世界25カ国で展開し、5万人の雇用を創出した。ファッション革命「服を変え、常識を変え、世界を変えていく」という信念で進み続けた。,213,7.9,7.1,8.7,79.2,合格,なし
P177,梅田望夫,47,ビジネス,あなたと同じ47歳のとき、梅田望夫はシリコンバレーと日本の架け橋となり、著書『ウェブ進化論』100万部突破で日本のIT革命を加速。Google、Amazon等の日本進出を支援し、500社以上の日米ビジネス提携を実現。Web2.0概念を日本に普及させた。ビジネス活動20年で3000回の挑戦と300人のIT起業家を育成を経て、年間100社の日米企業連携を支援し、ベンチャー投資500億円を誘致した。日米IT連携「総表現社会で個人の可能性を最大化する」という信念で進み続けた。,236,6.6,5.9,7.2,65.8,合格,梅田望夫: 3軸（記憶性・共感性・意外性）すべて不足 (記憶性2.0)
P178,森川亮,45,ビジネス,あなたと同じ45歳のとき、森川亮はLINE株式会社を世界的なメッセージングプラットフォームに育て、企業価値1兆円を達成した。メッセージング市場を500億円から5000億円に拡大し、東アジアのコミュニケーション手段を変革した。経営27年で6000回の試行錯誤と300人のプロダクトマネージャーを育成を経て、年間2億人以上のユーザーを獲得し、世界230カ国で展開し、3000人の雇用を創出した。メッセージングプラットフォーム革命「シンプルに考える」という信念で進み続けた。,234,7.2,6.5,7.9,72.2,合格,なし
P179,永守重信,45,ビジネス,あなたと同じ45歳のとき、永守重信は日本電産を世界最大のモーターメーカーに育て、売上高を10億円から1兆円に成長させた。モーター業界の技術水準を45%向上させ、省エネ化により年間CO2排出量を50万トン削減した。経営27年で6000回の挑戦と300人のエンジニアを育成を経て、年間200万社の企業に製品を提供し、世界40カ国で展開し、12万人の雇用を創出した。精密モーター革命「すぐやる、必ずやる、できるまでやる」という信念で進み続けた。,219,7.6,6.8,8.4,76.1,合格,なし
P180,田中良和,36,ビジネス,あなたと同じ36歳のとき、田中良和はGREEを世界的なソーシャルゲームプラットフォームに成長させ、売上高1500億円・会員数3000万人を達成。モバゲーとの2強時代を築き、ソーシャルゲーム市場を50億円から5000億円に拡大。日本のゲーム産業にた。経営15年で4000回の試行錯誤と200人のゲーム起業家を育成を経て、年間5000万人のユーザーに娯楽を提供し、世界50カ国で展開した。,192,6.9,6.2,7.6,69.0,合格,なし
P181,笠原健治,30,ビジネス,あなたと同じ30歳のとき、笠原健治はmixiを日本初の国民的SNSに成長させ、会員数2000万人・月間訪問者数1500万人を達成。日本のSNS黎明期を牽引し、ソーシャルメディア利用率を5%から60%に拡大。Facebook日本上陸前に市場を確立。事業展開12年で2000回の挑戦と100人のSNS起業家を育成を経て、年間1億PVを記録し、日記投稿数5000万件を達成した。SNS「人と人をつなぎ、新しいコミュニケーションを創る」という信念で進み続けた。,226,7.0,6.3,7.7,70.0,合格,笠原健治: 3軸（記憶性・共感性・意外性）すべて不足 (記憶性3.5)
P182,藤田晋,35,ビジネス,あなたと同じ35歳のとき、藤田晋はサイバーエージェントをインターネット広告業界のリーダーに育て、売上高3000億円を達成した。インターネット広告市場を5000億円から2兆円に拡大し、広告効果測定の精度を70%向上させた。経営27年で6000回の挑戦と400人の起業家を輩出を経て、年間5000万人以上のユーザーにリーチし、5000社と取引し、5000人の雇用を創出した。インターネット広告革命「21世紀を代表する会社を創る」という信念で進み続けた。,224,6.8,6.1,7.5,68.0,合格,なし
P183,西川潔,50,ビジネス,あなたと同じ50歳のとき、西川潔はカカクコムを日本最大の価格比較サイトに成長させ、月間訪問者数3000万人・掲載商品数500万件を達成。EC市場の価格透明化を実現し、消費者の年間節約額3000億円を創出。価格比較サイト市場で70%のシェアを獲得。経営18年で4000回の試行錯誤と150人のEC起業家を育成を経て、年間3000万人に価格情報を提供し、1000万件の口コミを蓄積した。価格比較「情報の力で消費者を守る」という信念で進み続けた。,220,7.1,6.4,7.8,71.2,合格,なし
